Straßenname,Hsnr,HsnrZus,lat,lon,geometry
Abtstraße,21,,52.4073028,12.56496934914614,POINT (12.56496934914614 52.4073028)
Abtstraße,20,,52.40717285,12.564795210293468,POINT (12.564795210293468 52.40717285)
Abtstraße,8,,52.4071072,12.5646282,POINT (12.5646282 52.4071072)
Abtstraße,7,,52.406964,12.5644137,POINT (12.5644137 52.406964)
Abtstraße,6,,52.4068269,12.564193,POINT (12.564193 52.4068269)
Abtstraße,5,,52.406966,12.5640398,POINT (12.5640398 52.406966)
Abtstraße,4,,52.4070505,12.5642339,POINT (12.5642339 52.4070505)
Adlerstraße,26,,52.3907909355863,12.409123976848116,POINT (12.409123976848116 52.3907909355863)
Adlerstraße,15,,52.3906548,12.4081721,POINT (12.4081721 52.3906548)
Adlerstraße,12,,52.39095065,12.408734162781716,POINT (12.408734162781716 52.39095065)
Adlerstraße,11,,52.390293,12.40914905,POINT (12.40914905 52.390293)
Adlerstraße,2,,52.3909283,12.41005659399966,POINT (12.41005659399966 52.3909283)
Ahornstraße,28,,52.3961369,12.4048639,POINT (12.4048639 52.3961369)
Ahornstraße,27,,52.3962997,12.4048869,POINT (12.4048869 52.3962997)
Ahornstraße,26,,52.396454,12.4049087,POINT (12.4049087 52.396454)
Ahornstraße,25,,52.39699845,12.4046479,POINT (12.4046479 52.39699845)
Ahornstraße,24,,52.39693975,12.40463902806644,POINT (12.40463902806644 52.39693975)
Ahornstraße,23,,52.39688105,12.404630171933562,POINT (12.404630171933562 52.39688105)
Ahornstraße,22,,52.39682235,12.4046213,POINT (12.4046213 52.39682235)
Ahornstraße,21,,52.39676365,12.40461242806644,POINT (12.40461242806644 52.39676365)
Ahornstraße,20,,52.39664675,12.404591450000002,POINT (12.404591450000002 52.39664675)
Ahornstraße,19,,52.39659075,12.4045837,POINT (12.4045837 52.39659075)
Ahornstraße,18,,52.3965347,12.404575946985297,POINT (12.404575946985297 52.3965347)
Ahornstraße,17,,52.3964787,12.40456825,POINT (12.40456825 52.3964787)
Ahornstraße,16,,52.3964227,12.4045605,POINT (12.4045605 52.3964227)
Ahornstraße,15,,52.39630935,12.40454245,POINT (12.40454245 52.39630935)
Ahornstraße,14,,52.39626055,12.40453435,POINT (12.40453435 52.39626055)
Ahornstraße,13,,52.39621175,12.40452625,POINT (12.40452625 52.39621175)
Ahornstraße,12,,52.39616295,12.4045181,POINT (12.4045181 52.39616295)
Ahornstraße,11,,52.39611415,12.40450995,POINT (12.40450995 52.39611415)
Ahornstraße,10,,52.39600245,12.404496,POINT (12.404496 52.39600245)
Ahornstraße,9,,52.3959441,12.4044877246684,POINT (12.4044877246684 52.3959441)
Ahornstraße,8,,52.3958858,12.404479453156942,POINT (12.404479453156942 52.3958858)
Ahornstraße,7,,52.39582745,12.40447117216981,POINT (12.40447117216981 52.39582745)
Ahornstraße,6,,52.39576915,12.4044629,POINT (12.4044629 52.39576915)
Ahornstraße,5,,52.39565235,12.404440388239172,POINT (12.404440388239172 52.39565235)
Ahornstraße,4,,52.39559525,12.404432938479022,POINT (12.404432938479022 52.39559525)
Ahornstraße,3,,52.39553815,12.404425488718868,POINT (12.404425488718868 52.39553815)
Ahornstraße,2,,52.39548105,12.404418035997711,POINT (12.404418035997711 52.39548105)
Ahornstraße,1,,52.39542405,12.404410592051446,POINT (12.404410592051446 52.39542405)
Akazienweg,59,,52.37178895,12.53442921650486,POINT (12.53442921650486 52.37178895)
