Straßenname,Hsnr,HsnrZus,Adresse_query,lat,lon,display_name,type,category,distance_m,duration_s,shop_min_distance,shops_500m_count,shops_800m_count
Abtstraße,21,,"Abtstraße, 21, brandenburg an der havel",52.4073028,12.56496934914614,"21, Abtstraße, Neustadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,829.0,596.9,208.1,1,5
Abtstraße,20,,"Abtstraße, 20, brandenburg an der havel",52.40717285,12.564795210293468,"20, Abtstraße, Neustadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building,969.1,697.7,348.2,1,5
Abtstraße,8,,"Abtstraße, 8, brandenburg an der havel",52.4071072,12.5646282,"8, Abtstraße, Neustadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,860.8,619.7,239.9,1,5
Abtstraße,7,,"Abtstraße, 7, brandenburg an der havel",52.406964,12.5644137,"7, Abtstraße, Neustadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,881.2,634.5,260.3,1,5
Abtstraße,6,,"Abtstraße, 6, brandenburg an der havel",52.4068269,12.564193,"6, Abtstraße, Neustadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,979.7,705.4,281.6,1,5
Abtstraße,5,,"Abtstraße, 5, brandenburg an der havel",52.406966,12.5640398,"5, Abtstraße, Neustadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,889.2,640.2,333.1,1,2
Abtstraße,4,,"Abtstraße, 4, brandenburg an der havel",52.4070505,12.5642339,"4, Abtstraße, Neustadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place,873.1,628.6,316.9,1,2
Adlerstraße,26,,"Adlerstraße, 26, brandenburg an der havel",52.3907909355863,12.409123976848116,"Adlerstraße, Kirchmöser West, Kirchmöser, Brandenburg an der Havel, Brandenburg, 14774, Deutschland",residential,highway,12783.1,9203.7,496.4,1,2
Adlerstraße,15,,"Adlerstraße, 15, brandenburg an der havel",52.3906548,12.4081721,"15, Adlerstraße, Kirchmöser West, Kirchmöser, Brandenburg an der Havel, Brandenburg, 14774, Deutschland",industrial,building,12846.3,9249.2,559.6,0,2
Adlerstraße,12,,"Adlerstraße, 12, brandenburg an der havel",52.39095065,12.408734162781716,"12, Adlerstraße, Kirchmöser West, Kirchmöser, Brandenburg an der Havel, Brandenburg, 14774, Deutschland",yes,building,12804.8,9219.4,544.7,0,2
Adlerstraße,11,,"Adlerstraße, 11, brandenburg an der havel",52.390293,12.40914905,"11, Adlerstraße, Kirchmöser West, Kirchmöser, Brandenburg an der Havel, Brandenburg, 14774, Deutschland",yes,building,12791.0,9209.4,414.9,1,2
Adlerstraße,2,,"Adlerstraße, 2, brandenburg an der havel",52.3909283,12.41005659399966,"2, Adlerstraße, Kirchmöser West, Kirchmöser, Brandenburg an der Havel, Brandenburg, 14774, Deutschland",yes,building,12711.3,9152.0,451.1,2,2
Ahornstraße,28,,"Ahornstraße, 28, brandenburg an der havel",52.3961369,12.4048639,"28, Ahornstraße, Kirchmöser West, Kirchmöser, Brandenburg an der Havel, Brandenburg, 14774, Deutschland",house,place,12496.5,8997.4,585.9,0,1
Ahornstraße,27,,"Ahornstraße, 27, brandenburg an der havel",52.3962997,12.4048869,"27, Ahornstraße, Kirchmöser West, Kirchmöser, Brandenburg an der Havel, Brandenburg, 14774, Deutschland",house,place,12478.3,8984.3,604.1,0,1
Ahornstraße,26,,"Ahornstraße, 26, brandenburg an der havel",52.396454,12.4049087,"26, Ahornstraße, Kirchmöser West, Kirchmöser, Brandenburg an der Havel, Brandenburg, 14774, Deutschland",house,place,12461.1,8971.9,621.3,0,1
Ahornstraße,25,,"Ahornstraße, 25, brandenburg an der havel",52.39699845,12.4046479,"25, Ahornstraße, Kirchmöser West, Kirchmöser, Brandenburg an der Havel, Brandenburg, 14774, Deutschland",yes,building,12402.6,8929.8,679.8,0,1
Ahornstraße,24,,"Ahornstraße, 24, brandenburg an der havel",52.39693975,12.40463902806644,"24, Ahornstraße, Kirchmöser West, Kirchmöser, Brandenburg an der Havel, Brandenburg, 14774, Deutschland",yes,building,12409.2,8934.5,673.2,0,1
Ahornstraße,23,,"Ahornstraße, 23, brandenburg an der havel",52.39688105,12.404630171933562,"23, Ahornstraße, Kirchmöser West, Kirchmöser, Brandenburg an der Havel, Brandenburg, 14774, Deutschland",yes,building,12415.7,8939.2,666.6,0,1
Ahornstraße,22,,"Ahornstraße, 22, brandenburg an der havel",52.39682235,12.4046213,"22, Ahornstraße, Kirchmöser West, Kirchmöser, Brandenburg an der Havel, Brandenburg, 14774, Deutschland",yes,building,12422.3,8943.9,660.1,0,1
Ahornstraße,21,,"Ahornstraße, 21, brandenburg an der havel",52.39676365,12.40461242806644,"21, Ahornstraße, Kirchmöser West, Kirchmöser, Brandenburg an der Havel, Brandenburg, 14774, Deutschland",yes,building,12428.8,8948.7,653.5,0,1
Ahornstraße,20,,"Ahornstraße, 20, brandenburg an der havel",52.39664675,12.404591450000002,"20, Ahornstraße, Kirchmöser West, Kirchmöser, Brandenburg an der Havel, Brandenburg, 14774, Deutschland",yes,building,12441.9,8958.1,640.5,0,1
Ahornstraße,19,,"Ahornstraße, 19, brandenburg an der havel",52.39659075,12.4045837,"19, Ahornstraße, Kirchmöser West, Kirchmöser, Brandenburg an der Havel, Brandenburg, 14774, Deutschland",yes,building,12448.1,8962.6,634.2,0,1
Ahornstraße,18,,"Ahornstraße, 18, brandenburg an der havel",52.3965347,12.404575946985297,"18, Ahornstraße, Kirchmöser West, Kirchmöser, Brandenburg an der Havel, Brandenburg, 14774, Deutschland",yes,building,12454.4,8967.1,628.0,0,1
