Name_Unternehmen,Straßenname,Hsnr,HsnrZus,Adresse,Straßenschlüssel,x,y,Adresse_query,Adresse_merge,lat,lon,display_name,type,category
Aldi,Geschwister-Scholl-Straße ,30,,Geschwister-Scholl-Straße 30,760,5808641.0,"334612,47","Geschwister-Scholl-Straße, 30, Brandenburg an der Havel",geschwister-scholl-straße 30,52.4030233,12.569106365846782,"30, Geschwister-Scholl-Straße, Bahnhofsvorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",retail,building
Aldi,Willi-Sänger-Straße,66,,Willi-Sänger-Straße 66 ,2195,5810628.0,"333040,56","Willi-Sänger-Straße, 66, Brandenburg an der Havel",willi-sänger-straße 66,52.420487800000004,12.544837244453813,"ALDI Nord, 66, Willi-Sänger-Straße, Nord, Brandenburg an der Havel, Brandenburg, 14770, Deutschland",supermarket,shop
Beetzsee-Center,Brielower Landstraße,19,,Brielower Landstraße 19,415,333511.6,5811937,"Brielower Landstraße, 19, Brandenburg an der Havel",brielower landstraße 19,52.43275265,12.547222024194422,"Beetzseecenter, 19, Brielower Landstraße, Massowburg, Brandenburg an der Havel, Brandenburg, 14772, Deutschland",mall,shop
Edeka,Gördenallee,204,,Gördenallee 204,773,331703.38,5811184,"Gördenallee, 204, Brandenburg an der Havel",gördenallee 204,52.4253376,12.524768997681539,"Edeka Höppner, 204, Gördenallee, Görden, Brandenburg an der Havel, Brandenburg, 14772, Deutschland",supermarket,shop
Edeka,Werner-Seelenbinder-Straße,52,,Werner-Seelenbinder-Straße 52,2130,333203.16,5810815,"Werner-Seelenbinder-Straße, 52, Brandenburg an der Havel",werner-seelenbinder-straße 52,52.4221122,12.5470011,"52, Werner-Seelenbinder-Straße, Nord, Brandenburg an der Havel, Brandenburg, 14770, Deutschland",house,place
Kaufland,An der Bundestraße 1,1,,An der Bundestraße 1 1,253,5809306.0,"337519,8","An der Bundestraße 1, 1, Brandenburg an der Havel",an der bundestraße 1 1,,,,,
Lidl,Friedrich-Franz-Straße,4,,Friedrich-Franz-Straße 4,693,331606.3,5809959,"Friedrich-Franz-Straße, 4, Brandenburg an der Havel",friedrich-franz-straße 4,52.413894150000004,12.524367986586357,"4, Friedrich-Franz-Straße, SWB-Industrie- und Gewerbepark, Walzwerksiedlung, Brandenburg an der Havel, Brandenburg, 14770, Deutschland",yes,building
Lidl,Upstallstraße,22,,Upstallstraße 22,2045,332321.12,5811790,"Upstallstraße, 22, Brandenburg an der Havel",upstallstraße 22,52.43043655,12.533457647573996,"22, Upstallstraße, Betriebshof Verkehrsbetriebe Brandenburg, Hohenstücken, Brandenburg an der Havel, Brandenburg, 14772, Deutschland",retail,building
Lidl ,Potsdamer Straße,23,,Potsdamer Straße 23,1681,334850.08,5808858,"Potsdamer Straße, 23, Brandenburg an der Havel",potsdamer straße 23,52.40490405,12.571843173465396,"23, Potsdamer Straße, Neustadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",retail,building
Netto,Am Gleisdreieck,14,,Am Gleisdreieck 14,110,323726.97,5807238,"Am Gleisdreieck, 14, Brandenburg an der Havel",am gleisdreieck 14,52.3869797,12.409269123587368,"Netto, 14, Am Gleisdreieck, Kirchmöser West, Kirchmöser, Brandenburg an der Havel, Brandenburg, 14774, Deutschland",supermarket,shop
Netto,Gördenallee,206,,Gördenallee 206,773,331787.53,5811204,"Gördenallee, 206, Brandenburg an der Havel",gördenallee 206,52.4252,12.5261119,"Netto, 206, Gördenallee, Görden, Brandenburg an der Havel, Brandenburg, 14772, Deutschland",supermarket,shop
Netto,Karl-Marx-Straße,10,,Karl-Marx-Straße 10,1125,332556.01,5810085,"Karl-Marx-Straße, 10, Brandenburg an der Havel",karl-marx-straße 10,52.41549575,12.538002573549683,"Netto, 10, Karl-Marx-Straße, Neuendorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14770, Deutschland",supermarket,shop
Netto,Ziesarer Landstraße,101,,Ziesarer Landstraße 101,2245,331298.78,5806349,"Ziesarer Landstraße, 101, Brandenburg an der Havel",ziesarer landstraße 101,52.38136875,12.521107336834394,"101, Ziesarer Landstraße, Siedlung Eigene Scholle, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",retail,building
Netto Marken-Discount,Göttiner Straße,8,,Göttiner Straße 8,805,332963.6,5807827,"Göttiner Straße, 8, Brandenburg an der Havel",göttiner straße 8,52.3953109,12.54467522654141,"8, Göttiner Straße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building
Netto Marken-Discount,Magdeburger Landstraße,190,,Magdeburger Landstraße 190,1347,330382.66,5810005,"Magdeburger Landstraße, 190, Brandenburg an der Havel",magdeburger landstraße 190,52.4136742,12.505935489334652,"190, Magdeburger Landstraße, Quenzsiedlung, Brandenburg an der Havel, Brandenburg, 14770, Deutschland",retail,building
Netto Marken-Discount,Rosa-Luxemburg-Allee,4,A,Rosa-Luxemburg-Allee 4 A,1762,332076.3,5811925,"Rosa-Luxemburg-Allee, 4A, Brandenburg an der Havel",rosa-luxemburg-allee 4a,52.43202235,12.529867757587969,"Netto Marken-Discount, 4A, Rosa-Luxemburg-Allee, Hohenstücken, Brandenburg an der Havel, Brandenburg, 14772, Deutschland",supermarket,shop
Netto Marken-Discount,Wusterwitzer Straße,32,A,Wusterwitzer Straße 32 A,2195,323782.99,5808080,"Wusterwitzer Straße, 32A, Brandenburg an der Havel",wusterwitzer straße 32a,52.394521850000004,12.410260037650314,"32A, Wusterwitzer Straße, Kirchmöser West, Kirchmöser, Brandenburg an der Havel, Brandenburg, 14774, Deutschland",commercial,building
Netto Marken-Discount,Willi-Sänger-Straße,20,,Willi-Sänger-Straße 20,2195,333515.19,5810398,"Willi-Sänger-Straße, 20, Brandenburg an der Havel",willi-sänger-straße 20,52.4186108,12.5518858,"Netto Marken-Discount, 20, Willi-Sänger-Straße, Altstadt, Brandenburg an der Havel, Brandenburg, 14770, Deutschland",supermarket,shop
Netto Marken-Discount,Potsdamer Straße ,14,,Potsdamer Straße 14,1681,5808973.0,"334747,34","Potsdamer Straße, 14, Brandenburg an der Havel",potsdamer straße 14,52.4062468,12.5708615,"14, Potsdamer Straße, Neustadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",bakery,shop
Norma,Wilhelmsdorfer Straße,6,,Wilhelmsdorfer Straße 6,2155,333497.83,5808593,"Wilhelmsdorfer Straße, 6, Brandenburg an der Havel",wilhelmsdorfer straße 6,52.4022518,12.552278944610253,"6, Wilhelmsdorfer Straße, Ring, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",commercial,building
Norma,Krakauer Landstraße,33,,Krakauer Landstraße 33,1240,5810898.0,"335454,42","Krakauer Landstraße, 33, Brandenburg an der Havel",krakauer landstraße 33,52.4236528,12.57984754140131,"33, Krakauer Landstraße, Krakauer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",industrial,building
Norma ,Ruppinstraße,2,,Ruppinstraße 2,1803,332770.05,5810859,"Ruppinstraße, 2, Brandenburg an der Havel",ruppinstraße 2,52.4223337,12.540935398931044,"NORMA, 2, Ruppinstraße, Nord, Brandenburg an der Havel, Brandenburg, 14770, Deutschland",supermarket,shop
Penny,Jacobstraße,3,,Jacobstraße 3,1032,333842.3,5808911,"Jacobstraße, 3, Brandenburg an der Havel",jacobstraße 3,52.4053288,12.557123111535391,"PENNY, 2-3, Jacobstraße, Bahnhofsvorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",supermarket,shop
Penny,Willi-Sänger-Straße,46,A,Willi-Sänger-Straße 46 A,2195,333189.21,5810568,"Willi-Sänger-Straße, 46A, Brandenburg an der Havel",willi-sänger-straße 46a,52.419992300000004,12.547041294697777,"PENNY, 46a, Willi-Sänger-Straße, Nord, Brandenburg an der Havel, Brandenburg, 14770, Deutschland",supermarket,shop
Penny,Veilchenweg,2,,Veilchenweg 2,2048,330254.0,5811368,"Veilchenweg, 2, Brandenburg an der Havel",veilchenweg 2,52.426116300000004,12.503700450375533,"EKZ Görden, 2, Veilchenweg, Kolonie Görden, Brandenburg an der Havel, Brandenburg, 14772, Deutschland",mall,shop
Rewe,Koenigsmarckstraße,18,A,Koenigsmarckstraße 18 A,1222,323925.41,5808992,"Koenigsmarckstraße, 18A, Brandenburg an der Havel",koenigsmarckstraße 18a,52.4029245,12.411461558555164,"REWE, 18a, Koenigsmarckstraße, Plaue, Brandenburg an der Havel, Brandenburg, 14774, Deutschland",supermarket,shop
Rewe,Neuendorfer Straße,76,,Neuendorfer Straße 76,1485,333132.95,5809246,"Neuendorfer Straße, 76, Brandenburg an der Havel",neuendorfer straße 76,52.407878,12.546588294038148,"76, Neuendorfer Straße, Neuendorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14770, Deutschland",yes,building
Rewe,Neuendorfer Straße,52,,Neuendorfer Straße 52,1485,332605.83,5809124,"Neuendorfer Straße, 52, Brandenburg an der Havel",neuendorfer straße 52,52.4064018,12.53927975,"REWE Center, 52, Neuendorfer Straße, Neuendorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14770, Deutschland",supermarket,shop
Rewe,Sankt-Annen-Straße,23,,Sankt-Annen-Straße 23,1822,334294.22,5809291,"Sankt-Annen-Straße, 23, Brandenburg an der Havel",sankt-annen-straße 23,52.4082601,12.5654433,"Herzog & Bräuer, 23, Sankt-Annen-Straße, Neustadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",clothes,shop
Rewe,Tschirchdamm,8,,Tschirchdamm 8,2022,331614.45,5812217,"Tschirchdamm, 8, Brandenburg an der Havel",tschirchdamm 8,52.4340089,12.523252045692665,"8, Tschirchdamm, Hohenstücken, Brandenburg an der Havel, Brandenburg, 14772, Deutschland",supermarket,building
Rewe,Veilchenweg,2,,Veilchenweg 2,2048,330254.0,5811368,"Veilchenweg, 2, Brandenburg an der Havel",veilchenweg 2,52.426116300000004,12.503700450375533,"EKZ Görden, 2, Veilchenweg, Kolonie Görden, Brandenburg an der Havel, Brandenburg, 14772, Deutschland",mall,shop
