id,Name_Haltestelle,Kategorie,x,y,Adresse_query,Adresse_merge,lat,lon,display_name,type,category,geometry
1,Hauptbahnhof,tram_stop,"334362,28",5808478,"['Tram stop Hauptbahnhof, Brandenburg, 14770']",haltestelle hauptbahnhof,52.4014385,12.5652094,"Hauptbahnhof, Am Hauptbahnhof, Bahnhofsvorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",tram_stop,railway,POINT (12.5652094 52.4014385)
2,Geschwister-Scholl-Straße,tram_stop,"334562,3","5808718,5","['Tram stop Geschwister-Scholl-Straße, Brandenburg, 14770']",haltestelle geschwister-scholl-straße,52.4036570,12.5680283,"Geschwister-Scholl-Straße, Neustadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",tram_stop,railway,POINT (12.5680283 52.403657)
3,"Brielow, Dorf",bus_stop,"332687,4",5815286,"['Bus stop Brielow Dorf, Brandenburg, 14770']","haltestelle brielow, dorf",52.4620792,12.5372058,"Brielow, Dorf, Chausseestraße, Brielow, Beetzsee, Amt Beetzsee, Potsdam-Mittelmark, Brandenburg, 14778, Deutschland",bus_stop,highway,POINT (12.5372058 52.4620792)
4,Mühlenweg,bus_stop,"332753,47","5816063,5","['Bus stop Mühlenweg, Brandenburg, 14770']",haltestelle mühlenweg,52.4690797,12.5377878,"Mühlenweg, Chausseestraße, Brielow, Beetzsee, Amt Beetzsee, Potsdam-Mittelmark, Brandenburg, 14778, Deutschland",bus_stop,highway,POINT (12.5377878 52.4690797)
5,"Radewege, Siedlung",bus_stop,"332842,06","5816845,5","['Bus stop Radewege Siedlung, Brandenburg, 14770']","haltestelle radewege, siedlung",52.4761334,12.5386984,"Radewege, Siedlung, Kastanienstraße, Radewege Siedlung, Radewege, Beetzsee, Amt Beetzsee, Potsdam-Mittelmark, Brandenburg, 14778, Deutschland",bus_stop,highway,POINT (12.5386984 52.4761334)
6,Marzahne,bus_stop,"332678,1","5820810,5","['Bus stop Marzahne, Brandenburg, 14770']",haltestelle marzahne,52.5116978,12.5342940,"Marzahne, Marzahner Straße, Marzahne, Havelsee, Amt Beetzsee, Potsdam-Mittelmark, Brandenburg, 14798, Deutschland",bus_stop,highway,POINT (12.534294 52.5116978)
7,"Nahmitz, Dorf",bus_stop,"345081,97","5800974,5","['Bus stop Nahmitz Dorf, Brandenburg, 14770']","haltestelle nahmitz, dorf",52.3371699,12.7261093,"Nahmitz, Dorf, Dorfstraße, Nahmitz, Kloster Lehnin, Potsdam-Mittelmark, Brandenburg, 14797, Deutschland",bus_stop,highway,POINT (12.7261093 52.3371699)
8,Trechwitz,bus_stop,"344610,53","5804114,5","['Bus stop Trechwitz, Brandenburg, 14770']",haltestelle trechwitz,52.3652439,12.7177426,"Trechwitz, Von-Knobelsdorff-Straße, Trechwitz, Kloster Lehnin, Potsdam-Mittelmark, Brandenburg, 14797, Deutschland",bus_stop,highway,POINT (12.7177426 52.3652439)
9,Trechwitz,bus_stop,"344636,78","5804097,5","['Bus stop Trechwitz, Brandenburg, 14770']",haltestelle trechwitz,52.3652439,12.7177426,"Trechwitz, Von-Knobelsdorff-Straße, Trechwitz, Kloster Lehnin, Potsdam-Mittelmark, Brandenburg, 14797, Deutschland",bus_stop,highway,POINT (12.7177426 52.3652439)
10,Bergstraße,bus_stop,347169,5803652,"['Bus stop Bergstraße, Brandenburg, 14770']",haltestelle bergstraße,52.3617386,12.7549816,"Bergstraße, Damsdorfer Hauptstraße, Damsdorf, Kloster Lehnin, Potsdam-Mittelmark, Brandenburg, 14797, Deutschland",bus_stop,highway,POINT (12.7549816 52.3617386)
