Name_Kita,Straßenname,Hsnr,HsnrZus,Adresse,Straßenschlüssel,x,y,Adresse_query,Adresse_merge,lat,lon,display_name,type,category
Domkindergarten,Burghof,3,,Burghof 3,470,334471.9,5810006,"Burghof, 3, Brandenburg an der Havel",burghof 3,52.4152387,12.566011794471159,"Kurie III, 3, Burghof, Dom, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building
Eltern-Kind-Gruppe 116 Schritte,Kurstraße,67,,Kurstraße 67,1255,334008.87,5809263,"Kurstraße, 67, Brandenburg an der Havel",kurstraße 67,52.4084016,12.5595942,"67, Kurstraße, Neustadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place
Eltern-Kind-Gruppe in Kita LEBEN,Sophienstraße,49,,Sophienstraße 49,1923,331255,5812321,"Sophienstraße, 49, Brandenburg an der Havel",sophienstraße 49,52.43463105,12.517710557801951,"Kita LEBEN“, 49, Sophienstraße, Hohenstücken, Brandenburg an der Havel, Brandenburg, 14772, Deutschland",kindergarten,amenity
Kinderhaus MITTENDRIN,Schleusenerstraße,17,,Schleusenerstraße 17,1858,331968.2,5812190,"Schleusenerstraße, 17, Brandenburg an der Havel",schleusenerstraße 17,52.43387455,12.527989958046517,"Kindergarten Mittendrin, 17, Schleusenerstraße, Hohenstücken, Brandenburg an der Havel, Brandenburg, 14772, Deutschland",kindergarten,amenity
Kita 93 Grad,Kirchgasse,6,,Kirchgasse 6,1175,334068.53,5809255,"Kirchgasse, 6, Brandenburg an der Havel",kirchgasse 6,52.40831375,12.560499088410404,"6, Kirchgasse, Neustadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building
Kita Arche Domlinden,Mühlendamm,11,,Mühlendamm 11,1460,334434.5,5809767,"Mühlendamm, 11, Brandenburg an der Havel",mühlendamm 11,52.41318035,12.565593367972063,"11, Mühlendamm, Dom, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building
Kita Arche Noah,Weberstraße,24,,Weberstraße 24,2100,330371.52,5811690,"Weberstraße, 24, Brandenburg an der Havel",weberstraße 24,52.42906775,12.504946822434515,"Evangelischer Kindergarten ""Arche Noah"", 24, Weberstraße, Kolonie Görden, Brandenburg an der Havel, Brandenburg, 14772, Deutschland",kindergarten,amenity
Kita Bauhofstraße,Bauhofstraße,26,,Bauhofstraße 26,319,333596.31,5808938,"Bauhofstraße, 26, Brandenburg an der Havel",bauhofstraße 26,52.405156500000004,12.553336471052637,"Kita “Bauhofstraße”, 26, Bauhofstraße, Ring, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",kindergarten,amenity
Kita DRK Kinderdorf Haus 3,Magdeburger Landstraße,1,,Magdeburger Landstraße 1,1347,331773.7,5809883,"Magdeburger Landstraße, 1, Brandenburg an der Havel",magdeburger landstraße 1,52.41423315,12.526172299712112,"DRK Kinderdorf, 1-3, Magdeburger Landstraße, Walzwerksiedlung, Brandenburg an der Havel, Brandenburg, 14770, Deutschland",kindergarten,amenity
Kita Freddis Kinderland,Am Wasserwerk,10,,Am Wasserwerk 10,243,325588.09,5800736,"Am Wasserwerk, 10, Brandenburg an der Havel",am wasserwerk 10,52.329120149999994,12.440452514333451,"Freddi's Kinderland, 10, Am Wasserwerk, Mahlenzien, Brandenburg an der Havel, Brandenburg, 14774, Deutschland",kindergarten,amenity
Kita Haus Sonnenwinkel,Grabenstraße,19,,Grabenstraße 19,825,333876.15,5809480,"Grabenstraße, 19, Brandenburg an der Havel",grabenstraße 19,52.4102841,12.5575834,"19, Grabenstraße, Altstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",house,place
Kita Heilige Dreifaltigkeit,Neustädtische Heidestraße,26,,Neustädtische Heidestraße 26,1502,334150.75,5809030,"Neustädtische Heidestraße, 26, Brandenburg an der Havel",neustädtische heidestraße 26,52.4063086,12.561867971109066,"26, Neustädtische Heidestraße, Neustadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",commercial,building
Kita Kammgarnspinnerei,Zur Kammgarnspinnerei,17,,Zur Kammgarnspinnerei 17,2275,333100.1,5809181,"Zur Kammgarnspinnerei, 17, Brandenburg an der Havel",zur kammgarnspinnerei 17,52.4073409,12.5461444,"Kindertagesstätte ""In der Kammgarnspinnerei"", 17, Zur Kammgarnspinnerei, Neuendorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14770, Deutschland",kindergarten,amenity
Kita Keks & Krümel,Tschirchdamm,20,,Tschirchdamm 20,2022,331505.6,5812367,"Tschirchdamm, 20, Brandenburg an der Havel",tschirchdamm 20,52.4353375,12.521543900000001,"Senioren- und Pflegezentrum ""Martha Piter"", 20, Tschirchdamm, Hohenstücken, Brandenburg an der Havel, Brandenburg, 14772, Deutschland",social_facility,amenity
Kita KiWi,Maerckerstraße,10,,Maerckerstraße 10,1335,332891.05,5808076,"Maerckerstraße, 10, Brandenburg an der Havel",maerckerstraße 10,52.39747375,12.543900592100542,"10, Maerckerstraße, Wilhelmsdorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",yes,building
Kita klein & GROSS,Gertraudenstraße,53,,Gertraudenstraße 53,753,331378.3,5812686,"Gertraudenstraße, 53, Brandenburg an der Havel",gertraudenstraße 53,52.438028450000004,12.518894494756434,"Kita ""Klein & Groß"", 53, Gertraudenstraße, Hohenstücken, Brandenburg an der Havel, Brandenburg, 14772, Deutschland",kindergarten,amenity
Kita Klein Kreutz,Alte Weinberge,15,,Alte Weinberge 15,48,339055.18,5812601,"Alte Weinberge, 15, Brandenburg an der Havel",alte weinberge 15,52.44002405,12.632101324757096,"Kita Klein Kreutz, 15, Alte Weinberge, Klein Kreutz/Saaringen, Brandenburg an der Havel, Brandenburg, 14776, Deutschland",kindergarten,amenity
Kita Kleine Fische,Damaschkestraße,28,,Damaschkestraße 28,510,332948.93,5809362,"Damaschkestraße, 28, Brandenburg an der Havel",damaschkestraße 28,52.40892865,12.543992032572229,"28, Damaschkestraße, Neuendorfer Vorstadt, Brandenburg an der Havel, Brandenburg, 14770, Deutschland",yes,building
Kita Kleine Strolche,Nicolaiplatz,27,,Nicolaiplatz 27,1518,333485.67,5809542,"Nicolaiplatz, 27, Brandenburg an der Havel",nicolaiplatz 27,52.41033795,12.552507846100621,"Kita Kleine Strolche, 27, Nicolaiplatz, Altstadt, Brandenburg an der Havel, Brandenburg, 14770, Deutschland",kindergarten,amenity
Kita Kleine Waldgeister,Johannisburger Anger,22,,Johannisburger Anger 22,1045,329998.39,5811980,"Johannisburger Anger, 22, Brandenburg an der Havel",johannisburger anger 22,52.43159945,12.500003361267527,"Kita ""Kleine Waldgeister"", 22, Johannisburger Anger, Kolonie Görden, Brandenburg an der Havel, Brandenburg, 14772, Deutschland",kindergarten,amenity
Kita Knirpsentreff am Berg,Venise-Gosnat-Straße,43,,Venise-Gosnat-Straße 43,2025,"332678,71",5810425,"Venise-Gosnat-Straße, 43, Brandenburg an der Havel",venise-gosnat-straße 43,52.4183252,12.5395841,"43, Venise-Gosnat-Straße, Nord, Brandenburg an der Havel, Brandenburg, 14770, Deutschland",house,place
Kita LEBEN,Sophienstraße,49,,Sophienstraße 49,1923,331255,5812321,"Sophienstraße, 49, Brandenburg an der Havel",sophienstraße 49,52.43463105,12.517710557801951,"Kita LEBEN“, 49, Sophienstraße, Hohenstücken, Brandenburg an der Havel, Brandenburg, 14772, Deutschland",kindergarten,amenity
Kita Lebenswelten,Am Gallberg,7,,Am Gallberg 7,105,332326.85,5810916,"Am Gallberg, 7, Brandenburg an der Havel",am gallberg 7,52.422593500000005,12.53411493897568,"Kita LebensWelten, 7, Am Gallberg, Nord, Brandenburg an der Havel, Brandenburg, 14770, Deutschland",kindergarten,amenity
